family,geometry_class,source_constraint,dimension,secret_l1_radius,required_acceptance,source_scale,acceptance_expression,acceptance_exact,acceptance,reciprocal_acceptance_exact,reciprocal_acceptance,source_count,target_count,target_entropy_bits,target_support_log_cardinality,target_coordinate_box_upper_bound,source_max_l2_squared,target_max_l2_squared,target_max_l2
hybrid_blocks_4,integral_rational,"4 blocks: ||x_block||_inf <= 75, ||x_block||_1 <= 150",16,2,3/4,75,"(C_4(73,148)/C_4(75,150))^4",3309342734319573594501075561830721/4408167956813952272397203503641601,0.7507297287083032,4408167956813952272397203503641601/3309342734319573594501075561830721,1.3320372988566582,4408167956813952272397203503641601,3309342734319573594501075561830721,111.35017184435912,112,128,45000,42648,206.51392204885366
hybrid_blocks_4,integral_rational,"4 blocks: ||x_block||_inf <= 204, ||x_block||_1 <= 408",16,2,9/10,204,"(C_4(202,406)/C_4(204,408))^4",420502872373573913004434751546079800625/466999456475107233930598350090625899441,0.9004354642027046,466999456475107233930598350090625899441/420502872373573913004434751546079800625,1.1105737609806998,37826955974483685948378466357340697854721,34060732662259486953359214875232463850625,134.6452332638885,135,144,332928,326448,571.3562811416358
hybrid_blocks_8,irrational_sqrt_threshold,"2 blocks: ||x_block||_inf <= 23, ||x_block||_1 <= 65",16,2,1/2,23,"(C_8(21,63)/C_8(23,65))^2",1438142075079710771251009/2794139440087789013190721,0.514699465046929,2794139440087789013190721/1438142075079710771251009,1.9428813665248759,2794139440087789013190721,1438142075079710771251009,80.25048048498488,81,96,2838,2646,51.43928459844674
hybrid_blocks_8,irrational_sqrt_threshold,"2 blocks: ||x_block||_inf <= 53, ||x_block||_1 <= 149",16,2,3/4,53,"(C_8(51,147)/C_8(53,149))^2",1123661259535790605378296187201/1491340109321322752630887401409,0.7534574122378731,1491340109321322752630887401409/1123661259535790605378296187201,1.327215027362809,1491340109321322752630887401409,1123661259535790605378296187201,99.82605003089641,100,112,14934,14454,120.22478945708326
hybrid_blocks_8,irrational_sqrt_threshold,"2 blocks: ||x_block||_inf <= 142, ||x_block||_1 <= 401",16,2,9/10,142,"(C_8(140,399)/C_8(142,401))^2",9600556027754165872679647346600130625/10663703620803108306976669691697049921,0.9003022185486365,10663703620803108306976669691697049921/9600556027754165872679647346600130625,1.1107381270392567,10663703620803108306976669691697049921,9600556027754165872679647346600130625,122.85252937961775,123,144,108034,106722,326.683332908185
cube,integral_rational,||x||_inf <= 93,32,2,1/2,93,(183/187)^32,2502850282287956791921714396116065687396746297791522429305645028544636161/4999555676450423117483802409775566433246911861221928525275400251491268481,0.5006145434237721,4999555676450423117483802409775566433246911861221928525275400251491268481/2502850282287956791921714396116065687396746297791522429305645028544636161,1.9975448439049766,4999555676450423117483802409775566433246911861221928525275400251491268481,2502850282287956791921714396116065687396746297791522429305645028544636161,240.50239482508937,241,256,276768,264992,514.7737367038065
cube,integral_rational,||x||_inf <= 223,32,2,3/4,223,(443/447)^32,4840823398637121817594316231261586037729374423908919771371304056934258080637309360001/6454175051018557059360065507127750577424170774872938433629826443050948524736655575041,0.7500297652870717,6454175051018557059360065507127750577424170774872938433629826443050948524736655575041/4840823398637121817594316231261586037729374423908919771371304056934258080637309360001,1.3332804193674275,6454175051018557059360065507127750577424170774872938433629826443050948524736655575041,4840823398637121817594316231261586037729374423908919771371304056934258080637309360001,281.3172124337606,282,288,1591328,1562912,1250.1647891378161
cube,integral_rational,||x||_inf <= 608,32,2,9/10,608,(1213/1217)^32,482553675321363246856277403020168772905012700568927863682872053465915242429315757511710125564606081/536165052894026226479343933647752624529743549898105261126637936771944336827023423175481911485634561,0.9000095636907179,536165052894026226479343933647752624529743549898105261126637936771944336827023423175481911485634561/482553675321363246856277403020168772905012700568927863682872053465915242429315757511710125564606081,1.1110993042109973,536165052894026226479343933647752624529743549898105261126637936771944336827023423175481911485634561,482553675321363246856277403020168772905012700568927863682872053465915242429315757511710125564606081,327.8196427238563,328,352,11829248,11751552,3428.0536751923823
cross_polytope,integral_rational,||x||_1 <= 92,32,2,1/2,92,L_32(90)/L_32(92),9124410225817058576982284259883441729/18128412595018934863467272971614364417,0.5033209707685125,18128412595018934863467272971614364417/9124410225817058576982284259883441729,1.9868037655437176,18128412595018934863467272971614364417,9124410225817058576982284259883441729,122.77914272641004,123,256,8464,8100,90.0
cross_polytope,integral_rational,||x||_1 <= 223,32,2,3/4,223,L_32(221)/L_32(223),3879084007865697775387838753616517679108829888525/5167059584067070369440300504804860235121607199949,0.7507333609674407,5167059584067070369440300504804860235121607199949/3879084007865697775387838753616517679108829888525,1.3320308540855827,25835297920335351847201502524024301175608035999745,19395420039328488876939193768082588395544149442625,163.73019266959315,164,288,49729,48841,221.0
