parameter_set,test_case_id,rho_sha256,rank_defect,classical_defect_budget,passes_classical_budget,qrom_defect_budget,passes_qrom_budget
ML-DSA-65,43,10c60dbbcbca1e7dba7a15f5876fcf1b79934e5fa8308c4d74b0afed573f9865,0,272,True,240,True
ML-DSA-65,44,3333129b27a99eea98e4a490392a02fb6abd1c1931eefe576aeb63e3e0f3a49c,0,272,True,240,True
ML-DSA-65,45,e6f4479ac65dd81557eec64bd21ee3386b3eede889593abef18134b2fc4cd753,0,272,True,240,True
ML-DSA-65,46,50b3d396ad9c2b4b6a7906ec9490af499e9c9e6f7932b740d150972c4ea07a53,0,272,True,240,True
ML-DSA-65,47,46e6d56ee879bc3c603fcbba621f1662e7746814ed56870c455aa350e088d596,0,272,True,240,True
ML-DSA-65,48,5c0126e6753577a5444035b9e9df47b33381dcde9737cdc32669c4b4c7f16db6,0,272,True,240,True
ML-DSA-65,49,8b8e5d5ab59dc89d699e3a8d71a2061fb2545c5bbf2fcaba76bfa0e7c64016d5,0,272,True,240,True
ML-DSA-65,50,b1c88ddb5e7779bdf4d94eaae156c7db3b36d74d6223b7bebff7506d5b771759,0,272,True,240,True
ML-DSA-87,51,a17587e26b2574b0420abd895306a14c9f97aeaac1b86782d6d9a50d497a7ab3,0,400,True,368,True
ML-DSA-87,52,266bf9164b2e73b39775b34816485e7c219d280b2b3c39104acd7027997b9012,0,400,True,368,True
ML-DSA-87,53,1a7ddbe98a6a469f2b5d10dd68cdcde2b500703e00736f6c147eab0a95da84da,0,400,True,368,True
ML-DSA-87,54,dd737309098f67da9806c98aa1ec49757ca9d734c8d02d3734c7ebee986b6cc5,0,400,True,368,True
ML-DSA-87,55,1ab9908c94961bf88ccb7820855f4ddb9dd6371655be611e8fd6d3f14e5d398c,0,400,True,368,True
ML-DSA-87,56,78cb6247734d10b4ef9b36810c933d0007010d58dbc088461182d59bf44a73c7,0,400,True,368,True
ML-DSA-87,57,e086a459c9f70a19933e2e3e4c4aa2057c16a587e18ac0c5a3bd8b59c9c21e9c,0,400,True,368,True
ML-DSA-87,58,57c52968671ada9afe74881627177e6782548c19dfbe4ab841dbd7aed29932ce,0,400,True,368,True
ML-DSA-87,59,1e2b2284581e873c13164a2dc2e0bfdd234c46059f3dde94d4cd0a390c0d54ab,0,400,True,368,True
ML-DSA-87,60,7dfabb93b8c8f4aaed1ebec82784710fe1b9fdb4a5e2c58a99cbdbabe98b8a0f,0,400,True,368,True
