parameter_set,ell,response_dimension,gamma1,gamma2,highbits_max_bucket,zero_defect_min_entropy_bits,zero_defect_tv_exponent_before_queries,defect_budget_for_qh_2pow64_tv_2pow_minus128,budget_endpoint_accepted_law_exponent,single_xof_source_term_exponent,single_xof_combined_distance_exponent,classical_retry_combined_distance_exponent,qrom_zero_defect_restart_state_exponent,qrom_defect_budget_for_q0_2pow64_tv_2pow_minus128,qrom_budget_endpoint_restart_state_exponent,qrom_random_matrix_bad_probability_log2,qrom_random_matrix_bad_probability_bits,random_matrix_bad_probability_log2,random_matrix_bad_probability_bits,zero_defect_probability
ML-DSA-44,4,1024,131072,95232,190465,471.8936210207868,471.0085781468845,51,128.57794312200042,191.11495712609766,128.57794312200042,128.5779431220004,203.06176763649106,27,129.3595407181394,-520.1156527359917,520.1156527359917,-1013.5389841946893,1013.5389841946893,0.9999694530551653
ML-DSA-65,5,1280,524288,261888,523777,1281.8007242816398,1281.1084813277596,272,129.10918370217587,191.30775704611992,129.10918370217587,129.10918370217595,608.2081191869398,240,128.2084290580058,-11006.17399863822,11006.17399863822,-13252.303557951212,13252.303557951212,0.999999999996362
ML-DSA-87,7,1792,524288,261888,523777,1794.5210139942958,1793.9267497690214,400,129.92778267257495,191.40573577472563,129.92778267257495,129.92778267257498,864.6662427718735,368,128.66671790750812,-21921.500328318387,21921.500328318387,-24866.042225568028,24866.042225568028,0.999999999996362
